Date,Real Total Stock Return,Real Total Bonds Return
1899.08,0.014867678,-0.010766263
1899.09,-0.045377894,-0.035331905
1899.1,-0.014305146,-0.010116525
1899.11,0.009217252,-0.009963171
1899.12,-0.076663092,-0.009812400
1900.01,0.016299834,0.002267039
1900.02,0.008951118,-0.008960094
1900.03,0.011171498,0.002976156
1900.04,0.015974441,0.002972754
1900.05,-0.020750126,0.027431866
1900.06,-0.014261474,0.015348700
1900.07,-0.008508155,-0.009269148
1900.08,0.030053553,0.015341812
1900.09,-0.031631532,-0.009275869
1900.1,0.053145428,0.015334923
1900.11,0.082258735,0.002948938
1900.12,0.077343099,0.015481742
1901.01,0.020022061,-0.009439269
1901.02,0.041896957,0.014539562
1901.03,0.039367816,0.002020722
1901.04,0.101055076,0.014710801
1901.05,-0.047212326,0.002032192
1901.06,0.102953859,0.002037926
1901.07,-0.075703328,-0.010482338
1901.08,0.004606754,-0.010320987
1901.09,-0.013884907,-0.010165499
1901.1,-0.007951042,0.002060864
1901.11,0.012497158,-0.010006926
1901.12,-0.024540722,-0.009856520
1902.01,0.037092065,0.014150702
1902.02,0.011922209,0.001800835
1902.03,0.004502442,0.001809570
1902.04,0.025082131,-0.010107524
1902.05,-0.010947428,-0.009959587
1902.06,-0.014303697,-0.009811936
1902.07,0.025820452,0.001844505
1902.08,0.042024845,0.013638166
1902.09,-0.006332839,-0.009786041
1902.1,-0.091906614,-0.063472720
1902.11,-0.002780688,0.035657760
1902.12,-0.030615130,-0.009246238
1903.01,0.042776607,-0.009115221
1903.02,-0.002627069,0.002046305
1903.03,-0.003055810,0.036211688
1903.04,-0.037369018,0.002060747
1903.05,0.007177851,0.025376718
1903.06,-0.051535088,0.002075188
1903.07,-0.041995125,0.002082409
1903.08,-0.027940389,0.002089629
1903.09,-0.031065403,-0.009423872
1903.1,-0.016687247,0.013758864
1903.11,0.019686719,0.013899251
1903.12,0.050822718,0.002118508
1904.01,-0.002335032,-0.020912457
1904.02,-0.044621316,-0.020245161
1904.03,0.012652882,0.013660861
1904.04,0.040851610,0.013807321
1904.05,0.006231211,0.025874323
1904.06,0.005769231,0.002295906
1904.07,0.045656682,0.002301637
1904.08,0.025830032,-0.009345823
1904.09,0.035977870,-0.009210109
1904.1,0.062348588,0.002318829
1904.11,0.033802034,-0.020194740
1904.12,0.012953896,0.002330291
1905.01,0.024966667,0.002336022
1905.02,0.046987940,0.003249083
1905.03,0.043104814,0.014638809
1905.04,-0.009238490,0.003242275
1905.05,-0.035285104,0.014772722
1905.06,0.014901961,0.003235467
1905.07,0.034512597,0.003232064
1905.08,0.028418124,-0.008173981
1905.09,0.017772658,0.014758950
1905.1,0.017034128,0.003221853
1905.11,-0.013757432,-0.008184076
1905.12,0.016119107,-0.008049810
1906.01,0.037524458,0.003211642
1906.02,-0.004207194,0.001180699
1906.03,-0.021534864,0.001198944
1906.04,-0.010518654,0.001217186
1906.05,-0.034190939,-0.009891727
1906.06,0.016385258,0.001253664
1906.07,0.011220943,0.035795815
1906.08,0.053209907,-0.021205926
1906.09,0.022615943,-0.009819598
1906.1,-0.047847462,-0.020445805
1906.11,0.012928183,-0.009415426
1906.12,-0.016286405,-0.009291968
1907.01,-0.014554154,0.012151081
1907.02,-0.048306437,-0.019416504
1907.03,-0.084948325,0.012349224
1907.04,0.008915170,0.001705687
1907.05,-0.050629678,-0.019152784
1907.06,-0.037794266,-0.008584939
1907.07,0.042764668,0.001750579
1907.08,-0.070570229,0.001765541
1907.09,-0.005865427,0.001780502
1907.1,-0.113024084,-0.008429072
1907.11,-0.012967397,0.044440458
1907.12,0.080041274,0.023599354
1908.01,0.059677606,0.012851834
1908.02,-0.020458655,0.015136896
1908.03,0.046338384,0.003971934
1908.04,0.047393113,-0.007070230
1908.05,0.058739641,0.003957303
1908.06,0.005897772,0.003949988
1908.07,0.029874738,-0.006971969
1908.08,0.047277988,0.003935358
1908.09,-0.006759483,0.003928043
1908.1,0.005466306,-0.006867202
1908.11,0.060374243,-0.006768740
1908.12,0.015618365,-0.006663511
1909.01,0.017759579,0.014580784
1909.02,-0.035222498,-0.008450045
1909.03,0.017518939,0.002111576
1909.04,0.027086104,-0.018535284
1909.05,0.026403948,-0.008094370
1909.06,0.010969477,-0.007980129
1909.07,0.017885204,0.002155652
1909.08,0.017442845,-0.007857044
1909.09,-0.005436905,-0.007738509
1909.1,-0.012097621,-0.017275292
1909.11,-0.010934797,-0.007438788
1909.12,0.005717315,-0.007336063
1910.01,-0.008332762,0.011860471
1910.02,-0.032035384,0.002779586
1910.03,0.009125969,-0.016131784
1910.04,-0.029489001,-0.006584235
1910.05,0.006222333,0.021891151
1910.06,-0.034958240,0.012443828
1910.07,-0.046359890,0.002804543
1910.08,0.038732137,0.012547560
1910.09,0.021049805,0.012648091
1910.1,0.082191531,0.033205635
1910.11,0.023794094,0.023505656
1910.12,-0.023720014,0.002829498
1911.01,0.028637201,0.002834489
1911.02,0.054083205,0.035123927
1911.03,-0.017960889,-0.007447040
1911.04,0.032513752,0.035824033
1911.05,0.025772270,0.003118448
1911.06,0.024173699,0.003120555
1911.07,-0.010831050,-0.007656692
1911.08,-0.073590704,-0.028229273
1911.09,-0.060039372,-0.007208013
1911.1,0.010284506,0.003128983
1911.11,0.055503715,0.013573609
1911.12,0.019348791,0.013694671
1912.01,-0.005070780,-0.007316152
1912.02,-0.014718511,-0.009955596
1912.03,0.012241352,-0.019827651
1912.04,0.004972480,-0.028999980
1912.05,0.003077859,0.000457616
1912.06,0.014075867,0.010401194
